name	critic-score	audience-score	rating	genres	director_score	writer_score	actor_score	theater-date	streaming-date	box-office	runtime	studio
The Sundowners1960	80%	61%	NR	"Action & Adventure,Classics,Drama"	90	67	"73.0,88.0,75.0,68.0"	"Dec 8, 1960Â wide"	23-Jan-07	NA	133 minutes	NA
House By the River (1950)	62%	69%	NR	"Classics,Drama,Horror"	90	74	"71.0,78.0,91.5,96.0"	"Jan 1, 1950Â wide"	22-Nov-05	NA	88 minutes	NA
Reefer Madness (Tell Your Children) (Doped Youth)1936	46%	37%	PG	"Classics,Cult Movies,Drama"	46	46	"46.0,73.0,46.0,46.0"	NA	30-Jul-02	NA	67 minutes	NCM/Fathom
Mildred Pierce1945	85%	91%	NR	"Classics,Drama,Mystery & Suspense"	90	87	"92.0,72.5,95.0,91.0"	"Oct 20, 1945Â wide"	4-Feb-03	NA	113 minutes	NA
The Blue Gardenia1953	86%	60%	NR	"Classics,Drama,Mystery & Suspense"	90	86	"86.0,88.5,86.0,84.5"	"Mar 23, 1953Â wide"	11-Apr-00	NA	90 minutes	NA
NA												
Partition (2007)	38%	73%	R (for some violent and disturbing images)	"Classics,Drama"	44	38	"54.5,26.5,53.0,47.5"	"Feb 2, 2007Â wide"	8-Apr-08	NA	115 minutes	Soda Pictures
The Wrong Man1956	91%	75%	PG	"Classics,Drama"	91	100	"86.0,89.5,90.0,88.0"	"Dec 22, 1956Â wide"	7-Sep-04	NA	105 minutes	NA
The Pirates of Penzance (1983)	81%	83%	G	"Action & Adventure,Classics,Comedy,Musical & Performing Arts"	81	81	"60.0,83.5,81.0,82.0"	"Feb 18, 1983Â wide"	30-Dec-03	NA	112 minutes	NA
Punishment Park1971	100%	89%	R (N/A)	"Classics,Documentary,Drama,Mystery & Suspense"	96.5	96.5	"100.0,100.0,40.0,100.0"	"Jan 1, 1971Â wide"	22-Nov-05	NA	88 minutes	NA
The Bad News Bears1976	97%	80%	PG	"Classics,Comedy"	39.5	48	"67.0,54.5,75.0,48.5"	"Apr 7, 1976Â wide"	12-Feb-02	NA	102 minutes	NA
Tarzan and His Mate (1934)	100%	76%	PG	"Action & Adventure,Classics"	100	91	"100.0,80.0,100.0,86.5"	"Apr 20, 1934Â wide"	25-Jul-91	NA	105 minutes	NA
Charade1963	92%	92%	G	"Classics,Comedy,Drama,Mystery & Suspense"	88	71	"92.0,88.0,67.0,71.0"	"Dec 5, 1963Â wide"	14-Oct-97	NA	115 minutes	NA
Purple Noon (Plein soleil)1961	100%	92%	PG-13	"Classics,Drama,Mystery & Suspense"	100	100	"92.0,100.0,88.0,100.0"	"Aug 31, 1961Â limited"	2-Sep-03	NA	115 minutes	NA
Noah	76%	41%	"PG-13 (for violence, disturbing images and brief suggestive content)"	"Classics,Drama"	77.5	67.5	"67.0,50.0,58.0,80.0"	"Mar 28, 2014Â wide"	29-Jul-14	"$101,160,529 "	137 minutes	Paramount Pictures
Tales of Terror1962	71%	62%	"NR (adult situations/language, violence)"	"Classics,Comedy,Cult Movies,Horror,Mystery & Suspense"	71	81	"82.0,88.0,91.0,87.5"	"Jul 4, 1962Â wide"	19-Sep-00	NA	90 minutes	NA
Deliverance1972	93%	82%	R	"Classics,Drama"	78	93	"33.0,64.0,93.0,76.0"	"Jul 21, 1972Â wide"	1-Jun-04	NA	109 minutes	NA
The Big Country (1958)	100%	90%	G	"Classics,Drama,Western"	94.5	100	"81.5,85.0,64.5,62.0"	"Jan 1, 1958Â wide"	20-Mar-01	NA	168 minutes	NA
Destry Rides Again1939	95%	81%	NR	"Classics,Comedy,Western"	85	89	"95.0,91.0,95.0,88.0"	"Dec 29, 1939Â limited"	6-May-03	NA	94 minutes	NA
Viva Zapata!1952	65%	77%	NR	"Classics,Drama,Western"	84	78	"80.5,83.0,80.5,66.0"	"Sep 19, 1952Â wide"	9-Sep-03	NA	113 minutes	NA
Patton1970	95%	93%	"PG (adult situations/language, violence)"	"Classics,Drama"	77.5	72	"70.5,82.5,82.5,95.0"	"Apr 2, 1970Â wide"	2-Nov-99	NA	170 minutes	NA
The Navigator1924	100%	89%	NR (nothing objectionable)	"Classics,Comedy"	94	98	"94.0,97.0,97.0,84.5"	"Jan 1, 1924Â wide"	20-Nov-01	NA	63 minutes	NA
They Were Expendable (1945)	89%	73%	NR	"Classics,Drama"	92	88	"83.0,83.0,88.0,96.5"	"Dec 20, 1945Â wide"	18-May-99	NA	135 minutes	NA
Up the Down Staircase (1967)	80%	67%	NR	"Classics,Drama"	80	80	"70.5,89.0,79.0,77.5"	"Jul 19, 1967Â wide"	6-Nov-07	NA	124 minutes	NA
The Bridge on the River Kwai	94%	93%	PG (N/A)	"Action & Adventure,Classics,Drama"	90	91	"81.5,81.5,85.5,79.5"	"Oct 2, 1957Â wide"	21-Nov-00	NA	161 minutes	NA
"Scream, Blacula, Scream (1973)"	29%	37%	PG	"Action & Adventure,Classics,Horror"	29	38.5	"66.0,52.0,29.0,29.0"	"Jun 27, 1973Â limited"	20-Jan-04	NA	95 minutes	NA
The Big Heat1953	100%	90%	PG	"Classics,Drama,Mystery & Suspense"	90	83	"91.0,83.0,80.0,70.0"	NA	18-Dec-01	NA	90 minutes	NA
Lady in a Cage (1964)	20%	67%	NR	"Classics,Drama,Mystery & Suspense"	20	57	"83.0,58.5,86.0,80.0"	"Jul 8, 1964Â wide"	29-Mar-05	NA	93 minutes	NA
Ganja & Hess (1973)	83%	51%	R	"Classics,Drama,Horror"	96	NA	"90.0,83.0,67.5,83.0"	"Apr 20, 1973Â limited"	14-Jul-98	NA	110 minutes	NA
Svengali (1931)	83%	78%	NR	"Classics,Drama,Horror,Mystery & Suspense"	83	91.5	"92.0,87.0,87.5,94.0"	"Dec 31, 1931Â wide"	18-Dec-07	NA	76 minutes	NA
And Then There Were None1945	100%	77%	NR	"Classics,Mystery & Suspense"	100	92	"90.0,100.0,71.0,100.0"	"Oct 31, 1945Â wide"	6-Jul-99	NA	97 minutes	NA
Red Heat1988	62%	37%	"R (adult situations/language, nudity, violence)"	"Action & Adventure,Classics,Drama"	62	80	"51.0,29.5,63.0,54.0"	"Jun 17, 1988Â wide"	20-Mar-01	NA	106 minutes	NA
Mr. Smith Goes to Washington	95%	94%	NR	"Classics,Comedy,Drama"	92	94	"91.0,95.0,98.5,97.0"	"Oct 19, 1939Â wide"	22-Feb-00	NA	130 minutes	NA
The Vikings1958	75%	73%	G	"Action & Adventure,Classics,Drama"	73	89	"80.0,74.0,87.5,70.0"	"Jun 28, 1958Â wide"	7-May-02	NA	116 minutes	NA
The Wild One (1954)	81%	71%	NR	"Action & Adventure,Classics,Cult Movies,Drama"	47.5	80	"80.5,NA,81.0,81.0"	"Apr 1, 1954Â wide"	10-Nov-98	NA	79 minutes	NA
Targets1968	88%	81%	PG (For violent content)	"Action & Adventure,Classics,Mystery & Suspense"	65	65	"88.0,88.0,83.0,67.0"	"Aug 15, 1968Â wide"	12-Aug-03	NA	90 minutes	NA
Exodus: Gods and Kings (2014)	29%	35%	PG-13 (for violence including battle sequences and intense images)	"Classics,Drama"	59.5	74	"67.5,60.5,66.0,56.0"	"Dec 12, 2014Â wide"	17-Mar-15	NA	142 minutes	20th Century Fox
Ocean's 11 (1960)	52%	81%	PG-13 (some language and sexual content)	"Classics,Comedy,Drama"	100	88	"79.0,75.5,52.0,89.5"	"Aug 10, 1960Â wide"	13-May-08	NA	128 minutes	NA
The Errand Boy1961	50%	72%	NR	"Classics,Comedy"	64	64	"64.0,88.0,58.0,74.0"	"Nov 28, 1961Â wide"	12-Oct-04	NA	92 minutes	NA
Gun Crazy (Deadly Is the Female)1950	97%	83%	R	"Action & Adventure,Classics,Drama"	97	82	"98.5,97.0,91.0,83.0"	"Jan 20, 1950Â limited"	19-Jan-99	NA	87 minutes	NA
King of Kings1961	85%	77%	PG-13 (for some violent content)	"Classics,Drama,Faith & Spirituality"	87.5	85	"90.5,85.0,87.0,85.5"	"Oct 30, 1961Â wide"	25-Feb-03	NA	165 minutes	NA
Blackboard Jungle1955	75%	76%	NR	"Classics,Drama"	76	76	"91.0,84.0,93.0,80.0"	"Mar 25, 1955Â wide"	10-May-05	NA	88 minutes	NA
The Fall of the House of Usher1960	90%	73%	G	"Classics,Cult Movies,Horror"	71	81	"82.0,46.5,87.0,86.5"	"May 22, 1960Â limited"	5-Jun-01	NA	85 minutes	NA
Madeleine (1950)	83%	69%	NR	"Classics,Drama"	90	81.5	"90.0,88.0,88.5,88.0"	"Aug 31, 1950Â wide"	7-Sep-04	NA	114 minutes	NA
Greaser's Palace (1972)	50%	61%	NR	"Classics,Comedy,Drama,Western"	51.5	50	"77.0,60.5,60.0,65.5"	"Jan 1, 1972Â limited"	22-Nov-10	NA	91 minutes	NA
Go West1940	89%	59%	NR	"Classics,Comedy,Musical & Performing Arts,Western"	89	91	"95.0,94.0,94.5,94.5"	"Jun 1, 1940Â wide"	29-Jan-92	NA	81 minutes	NA
The Harder They Fall1956	100%	80%	NR	"Classics,Drama,Mystery & Suspense"	80	85	"97.0,71.5,86.0,85.0"	"Jan 1, 1956Â wide"	21-Jan-03	NA	109 minutes	NA
Advise and Consent (1962)	82%	89%	NR	"Classics,Drama,Mystery & Suspense"	80	81	"86.0,92.0,54.0,88.0"	"Jun 6, 1962Â wide"	10-May-05	NA	140 minutes	NA
Carmen Jones (1954)	75%	78%	NR	"Classics,Drama,Musical & Performing Arts"	80	80	"81.5,79.0,75.0,79.0"	"Oct 5, 1954Â wide"	22-Jan-02	NA	105 minutes	NA
Midway1976	54%	72%	PG	"Action & Adventure,Classics,Documentary,Drama"	52	54	"62.0,86.0,71.0,91.0"	"Jun 18, 1976Â wide"	10-Oct-00	NA	132 minutes	NA
"The Russians Are Coming, the Russians Are Coming (1966)"	84%	75%	G	"Classics,Comedy,Drama"	73.5	73	"71.0,59.5,60.5,42.5"	"May 25, 1966Â wide"	15-Oct-02	NA	126 minutes	NA
River of No Return1954	62%	54%	G	"Action & Adventure,Classics,Drama,Western"	80	61	"73.0,83.0,61.0,79.5"	"Apr 30, 1954Â wide"	14-May-02	NA	91 minutes	NA
Dead Reckoning (1947)	67%	66%	NR	"Classics,Drama,Mystery & Suspense"	80	86	"97.0,71.0,83.0,68.0"	"Jan 1, 1947Â wide"	14-Jan-03	NA	100 minutes	NA
The Cowboys1972	75%	88%	PG	"Classics,Drama,Western"	56	85	"83.0,60.5,64.0,67.0"	"Jan 13, 1972Â wide"	6-Oct-98	NA	128 minutes	NA
The Bellboy1960	70%	68%	NR	"Classics,Comedy"	64	64	"64.0,70.0,90.0,70.0"	"Jan 1, 1960Â wide"	12-Oct-04	NA	72 minutes	NA
Pride and Prejudice (1940)	100%	76%	NR	"Classics,Comedy,Drama"	73	91	"89.0,82.0,86.0,100.0"	"Jul 26, 1940Â wide"	10-Oct-06	NA	118 minutes	NA
Fail-Safe1964	95%	91%	G	"Classics,Drama,Mystery & Suspense"	80	82	"67.0,86.0,83.0,91.0"	"Oct 7, 1964Â wide"	31-Oct-00	NA	112 minutes	NA
Five Easy Pieces1970	87%	84%	R (adult situations/language)	"Classics,Drama,Musical & Performing Arts"	73	87	"77.0,60.0,93.0,57.0"	"Sep 12, 1970Â wide"	28-Aug-01	NA	98 minutes	NA
Papillon1973	83%	90%	PG	"Action & Adventure,Classics,Drama"	77.5	82	"83.0,73.0,77.5,78.0"	NA	14-Dec-99	NA	150 minutes	NA
The Birds1963	96%	83%	PG-13	"Classics,Horror,Mystery & Suspense"	91	91	"69.0,63.0,58.5,69.0"	"Mar 28, 1963Â wide"	28-Mar-00	NA	119 minutes	NA
The Long Goodbye1973	97%	88%	R	"Classics,Drama,Mystery & Suspense"	77	96	"64.0,68.5,91.0,56.0"	"Mar 7, 1973Â limited"	25-Nov-14	NA	111 minutes	NA
The Desperate Hours (1955)	83%	78%	NR	"Classics,Drama,Mystery & Suspense"	94.5	59.5	"97.0,91.0,83.0,83.0"	"Jan 1, 1955Â wide"	10-Jun-03	NA	112 minutes	NA
Flesh1968	67%	50%	R	"Classics,Comedy,Cult Movies,Documentary,Drama"	83	83	"67.0,77.0,67.0,67.0"	NA	24-Nov-98	NA	90 minutes	NA
Zulu (1964)	95%	91%	PG	"Classics,Drama"	70	70	"82.0,79.5,89.0,43.0"	"Jun 17, 1964Â wide"	2-Feb-01	NA	139 minutes	NA
Von Ryan's Express1965	89%	82%	PG	"Action & Adventure,Classics,Drama"	80	81	"79.0,74.0,85.0,87.5"	"Jun 23, 1965Â wide"	6-Nov-01	NA	117 minutes	NA
Blazing Saddles1974	90%	91%	R (adult situations/language)	"Classics,Comedy,Western"	70	70	"40.5,60.0,29.0,61.0"	"Feb 7, 1974Â wide"	27-Aug-97	NA	93 minutes	NA
"Duck, You Sucker (A Fistful of Dynamite) (Gi la testa)1972"	91%	83%	R	"Action & Adventure,Classics,Western"	94	94	"71.5,86.5,71.0,71.0"	"Jun 1, 1972Â wide"	5-Jun-07	NA	139 minutes	NA
Scarface1932	100%	86%	PG	"Classics,Drama"	89.5	89	"100.0,70.0,76.0,92.0"	"Apr 9, 1932Â wide"	22-May-07	NA	94 minutes	NA
The Thin Man Goes Home (1945)	60%	77%	NR	"Action & Adventure,Classics,Comedy,Drama,Mystery & Suspense"	69	92	"84.5,82.0,80.0,60.0"	"Jun 1, 1945Â wide"	2-Aug-05	NA	100 minutes	NA
The Cardinal (1963)	60%	67%	NR	"Classics,Documentary,Drama,Special Interest"	80	60	"67.0,80.0,73.0,75.5"	"Dec 12, 1963Â wide"	25-Feb-03	NA	175 minutes	NA
Robin and the Seven Hoods1964	44%	70%	G	"Classics,Comedy,Drama,Musical & Performing Arts,Mystery & Suspense"	60	44	"79.0,75.5,52.0,82.0"	"Jun 24, 1964Â wide"	8-Jan-02	NA	123 minutes	NA
Suddenly (1954)	100%	62%	PG	"Action & Adventure,Classics,Drama,Mystery & Suspense"	94	60	"79.0,91.0,95.0,81.5"	"Oct 7, 1954Â limited"	29-Jun-04	NA	75 minutes	NA
Old Yeller1957	100%	79%	G	"Action & Adventure,Classics,Drama,Kids & Family,Western"	84	70	"83.0,53.5,80.0,100.0"	"Dec 25, 1957Â wide"	7-May-02	NA	84 minutes	NA
I Remember Mama (1948)	100%	85%	NR	"Classics,Drama"	93	93	"89.5,100.0,50.0,94.5"	"Mar 11, 1948Â wide"	7-Dec-04	NA	134 minutes	NA
The Strange Affair of Uncle Harry (Guilty of Murder?) (1945)	80%	64%	NR	"Classics,Drama,Mystery & Suspense"	89	88	"80.0,87.0,95.0,93.0"	"Aug 17, 1945Â wide"	31-Mar-15	NA	80 minutes	NA
The Pumpkin Eater1964	64%	74%	NR	"Classics,Drama"	69.5	NA	"59.0,86.0,89.0,89.0"	"Nov 9, 1964Â wide"	17-Oct-95	NA	109 minutes	NA
Flipper1963	40%	49%	G	"Action & Adventure,Classics,Drama,Kids & Family,Television"	60	36	"50.0,75.5,27.0,57.5"	"Aug 14, 1963Â wide"	24-Aug-04	NA	87 minutes	NA
Executive Action (1973)	50%	62%	PG	"Classics,Drama,Mystery & Suspense"	63	82	"83.0,87.5,87.0,83.0"	"Nov 7, 1973Â wide"	23-Oct-07	NA	91 minutes	NA
The Pride of the Yankees1942	93%	89%	NR	"Classics,Documentary,Drama"	92.5	100	"90.5,92.0,98.5,100.0"	"Jan 1, 1942Â wide"	17-Sep-02	NA	128 minutes	NA
Will Success Spoil Rock Hunter? (1957)	90%	77%	NR	"Classics,Comedy"	61.5	61.5	"89.5,75.5,90.0,93.0"	"Jan 1, 1957Â wide"	8-Aug-06	NA	94 minutes	NA
Kind Hearts and Coronets1949	100%	94%	NR	"Classics,Comedy,Drama"	92.5	92.5	"77.0,81.5,100.0,83.0"	"Jun 21, 1949Â wide"	10-Sep-02	NA	104 minutes	NA
Shaft's Big Score! (1972)	70%	48%	R	"Action & Adventure,Classics,Cult Movies"	81	92.5	"70.0,48.0,72.5,84.5"	NA	6-Jun-00	NA	104 minutes	NA
The Day of the Locust1975	64%	76%	R	"Classics,Drama,Mystery & Suspense"	72	90	"60.5,60.0,60.0,51.0"	"May 7, 1975Â wide"	8-Jun-04	NA	144 minutes	NA
Wings (1927)	95%	78%	PG-13	"Action & Adventure,Classics"	87	97.5	"97.5,95.0,95.0,96.0"	"Aug 12, 1927Â wide"	24-Jan-12	NA	144 minutes	NA
The Sandpiper (1965)	10%	42%	PG-13	"Classics,Drama"	82	82	"60.0,58.5,60.5,75.0"	"Jan 1, 1965Â wide"	5-Dec-06	NA	117 minutes	NA
Repulsion1965	100%	86%	NR	"Classics,Drama,Horror,Mystery & Suspense"	83	83	"81.5,92.0,90.0,80.5"	"Oct 3, 1965Â wide"	8-Feb-05	NA	104 minutes	NA
The Diary of Anne Frank (1959)	76%	76%	PG	"Classics,Drama"	93	88	"71.0,76.0,80.0,59.0"	"Mar 18, 1959Â wide"	3-Feb-04	NA	156 minutes	NA
Coogan's Bluff1968	94%	50%	R	"Action & Adventure,Classics,Drama"	89	94	"80.0,83.0,48.0,83.0"	"Oct 2, 1968Â wide"	1-Jun-04	NA	94 minutes	NA
Bob & Carol & Ted & Alice1969	91%	66%	R	"Classics,Comedy"	73	73	"84.0,56.0,64.0,60.0"	"Sep 17, 1969Â wide"	16-Nov-04	NA	105 minutes	NA
Roxie Hart (1942)	80%	55%	NR	"Classics,Comedy,Musical & Performing Arts"	87	90	"95.0,92.0,68.5,80.0"	NA	20-Apr-04	NA	75 minutes	NA
Reap the Wild Wind1942	67%	54%	NR	"Action & Adventure,Classics,Drama"	80	67	"86.0,92.0,83.0,86.0"	NA	15-Dec-98	NA	123 minutes	NA
Support Your Local Gunfighter1971	67%	59%	G	"Action & Adventure,Classics,Comedy,Western"	69	69	"66.0,58.5,93.0,78.0"	"Jan 1, 1971Â wide"	20-Mar-01	NA	92 minutes	NA
The War Wagon1967	90%	77%	NR	"Action & Adventure,Classics,Western"	69	85	"83.0,80.0,89.0,94.0"	"May 27, 1967Â wide"	18-Aug-98	NA	96 minutes	NA
Citizen Kane1941	100%	90%	PG	"Classics,Drama,Mystery & Suspense"	85.5	85.5	"85.5,97.5,81.0,82.0"	"May 1, 1941Â wide"	25-Sep-01	NA	119 minutes	NA
Rope1948	97%	90%	PG	"Classics,Drama,Mystery & Suspense"	91	86	"91.0,97.0,85.0,89.0"	"Aug 23, 1948Â wide"	6-Mar-01	NA	80 minutes	NA
Shane	97%	81%	G	"Classics,Western"	93	97	"89.5,98.5,90.0,87.0"	"Apr 24, 1953Â wide"	15-Aug-00	NA	118 minutes	NA
Houdini1953	85%	59%	NR	"Classics,Drama"	85	85	"74.0,87.5,85.0,86.0"	"Jul 2, 1953Â limited"	3-Jun-08	NA	107 minutes	NA
The French Connection	98%	87%	"R (adult situations/language, violence)"	"Action & Adventure,Classics,Drama"	75	92.5	"74.0,84.0,75.0,98.0"	"Oct 9, 1971Â wide"	25-Sep-01	NA	104 minutes	NA
Stagecoach1939	100%	86%	NR (not rated)	"Action & Adventure,Classics,Drama,Western"	92	89	"83.0,89.0,93.0,85.0"	"Mar 2, 1939Â wide"	30-Oct-97	NA	100 minutes	NA
The Steel Helmet (1951)	100%	87%	NR	"Action & Adventure,Classics,Drama"	89	89	"85.0,72.0,94.0,89.0"	"Feb 2, 1951Â wide"	21-Aug-07	NA	84 minutes	NA
Scarlet Street (1945)	100%	87%	PG	"Classics,Drama,Mystery & Suspense"	90	92	"91.0,90.0,100.0,80.5"	"Dec 28, 1945Â wide"	19-Feb-02	NA	95 minutes	NA
Eva1962	64%	58%	NR (not Rated)	"Classics,Drama,Mystery & Suspense"	69.5	94	"82.0,84.0,65.5,94.0"	"Jan 1, 1962Â wide"	26-Sep-00	NA	100 minutes	NA
McQ (1974)	50%	57%	PG	"Action & Adventure,Classics,Drama,Mystery & Suspense"	86	75	"83.0,80.0,88.0,67.0"	"Feb 6, 1974Â wide"	3-May-05	NA	111 minutes	NA
Father of the Bride (1950)	93%	74%	G (adult situations/language)	"Classics,Comedy,Drama"	82	84.5	"90.0,60.0,90.0,86.0"	"Jan 1, 1950Â wide"	1-Jun-04	NA	93 minutes	NA
Young and Innocent (1938)	100%	62%	NR	"Classics,Drama,Mystery & Suspense"	91	90	"96.0,94.0,95.0,89.0"	"Feb 17, 1938Â wide"	30-Jul-02	NA	80 minutes	NA
5 Fingers1952	100%	90%	NR	"Classics,Drama,Mystery & Suspense"	94	91	"89.0,96.0,83.0,87.0"	"Feb 22, 1952Â wide"	27-Jun-91	NA	108 minutes	NA
The Hospital (1971)	100%	74%	"PG-13 (For thematic elements, sexual content and drug references.)"	"Classics,Comedy,Drama"	50	92	"70.5,74.5,69.0,78.0"	"Dec 17, 1971Â wide"	16-Sep-03	NA	103 minutes	NA
The Importance of Being Earnest1952	88%	83%	PG (mild sensuality)	"Classics,Comedy"	88	88	"88.0,83.0,92.5,73.0"	NA	25-Jun-02	NA	95 minutes	NA
Husbands1970	69%	81%	"PG-13 (for mature thematic elements including sexual situations, language, drunkenness, and brief violence)"	"Classics,Comedy,Drama"	86	86	"86.0,60.0,69.0,85.5"	"Dec 8, 1970Â limited"	18-Aug-09	NA	150 minutes	NA
The Hill (1965)	100%	93%	NR	"Classics,Drama"	80	80	"68.0,65.0,78.0,89.0"	"Oct 3, 1965Â wide"	5-Jun-07	NA	123 minutes	NA
It Happened at the World's Fair1963	17%	59%	G	"Action & Adventure,Classics,Musical & Performing Arts"	40	33.5	"57.0,67.5,58.5,17.0"	"Apr 3, 1963Â wide"	3-Aug-04	NA	105 minutes	NA
The Gold Rush1925	100%	93%	G	"Classics,Comedy"	96	96	"96.0,91.5,75.0,92.5"	"Jun 26, 1925Â wide"	16-May-00	NA	85 minutes	NA
The Wild Angels (1966)	61%	46%	"R (adult situations/language, violence)"	"Action & Adventure,Classics,Cult Movies,Drama"	71	77.5	"52.0,80.0,60.5,61.0"	"Jul 20, 1966Â wide"	20-Feb-01	NA	124 minutes	NA
The Ghost and Mr. Chicken1966	67%	75%	G	"Classics,Comedy,Kids & Family,Mystery & Suspense"	67	67	"50.5,67.0,91.5,87.0"	"Jan 20, 1966Â wide"	2-Sep-03	NA	90 minutes	NA
The Miracle Worker1962	100%	88%	NR	"Classics,Drama"	82	63	"59.0,100.0,49.0,82.0"	"Jul 28, 1962Â wide"	6-Mar-01	NA	107 minutes	NA
A Hole in the Head (1959)	71%	47%	NR	"Classics,Comedy,Drama,Musical & Performing Arts"	92	85	"79.0,82.0,91.0,87.0"	"Jul 15, 1959Â wide"	18-Sep-01	NA	120 minutes	NA
Boomerang! (1947)	73%	63%	NR	"Classics,Drama,Mystery & Suspense"	84	87.5	"80.0,78.0,82.0,83.0"	"Apr 28, 1947Â wide"	6-Jun-06	NA	88 minutes	NA
The Long Gray Line1955	100%	77%	NR	"Classics,Drama"	92	100	"100.0,80.0,96.0,94.0"	"Jan 22, 1955Â wide"	2-Jan-02	NA	138 minutes	NA
King of Hearts1967	94%	88%	NR	"Classics,Comedy"	94	90	"65.5,77.0,86.5,95.0"	"Jun 19, 1967Â wide"	12-Jun-18	NA	101 minutes	NA
The Tall T (1957)	100%	82%	NR	"Classics,Western"	91.5	69	"94.5,69.0,100.0,89.5"	"Jan 1, 1957Â wide"	4-Nov-08	NA	77 minutes	NA
Fun in Acapulco2000	57%	53%	PG (adult situations/language)	"Classics,Comedy,Drama,Musical & Performing Arts"	69	57	"57.0,67.0,94.0,83.0"	"Jun 1, 2000Â wide"	7-Jan-03	NA	97 minutes	NA
Modern Times (1936)	100%	95%	G	"Classics,Comedy"	96	96	"96.0,92.0,100.0,93.5"	"Feb 25, 1936Â wide"	23-Aug-10	NA	87 minutes	United Artists
3:10 to Yuma1957	96%	78%	NR	"Classics,Drama,Western"	90.5	92.5	"91.0,90.0,88.0,81.0"	"Aug 7, 1957Â wide"	2-Apr-02	NA	92 minutes	NA
The Three Musketeers1948	71%	74%	NR	"Action & Adventure,Classics,Comedy,Drama,Romance"	87	85.5	"89.5,88.5,88.0,90.0"	"Oct 20, 1948Â wide"	6-Mar-07	NA	125 minutes	NA
Send Me No Flowers1964	57%	75%	NR	"Classics,Comedy,Drama"	73.5	81.5	"83.0,89.5,57.0,76.0"	"Oct 14, 1964Â wide"	4-Feb-03	NA	100 minutes	NA
Call Northside 7771948	73%	72%	NR	"Classics,Drama,Mystery & Suspense"	83	100	"91.0,86.0,82.0,91.5"	"Feb 1, 1948Â wide"	15-Mar-05	NA	111 minutes	NA
The Drowning Pool (1975)	50%	51%	PG	"Classics,Drama,Mystery & Suspense"	67	62	"74.5,70.0,60.5,75.0"	"Jan 7, 1975Â wide"	14-Nov-06	NA	108 minutes	NA
National Velvet (1944)	100%	78%	G	"Action & Adventure,Classics,Drama,Kids & Family"	92	90.5	"60.0,80.0,94.0,76.5"	"Dec 14, 1944Â wide"	11-Jul-00	NA	123 minutes	NA
A Fool There Was (1915)	80%	55%	NR	"Classics,Drama"	80	80	"80.0,80.0,80.0,80.0"	"Jan 1, 1915Â wide"	2-Apr-02	NA	75 minutes	NA
Our Hospitality1923	96%	90%	NR	"Classics,Comedy,Kids & Family"	94	98	"94.0,96.0,95.0,96.0"	"Jan 1, 1923Â wide"	28-Apr-98	NA	74 minutes	NA
49th Parallel (The Invaders) (1941)	90%	77%	NR	"Action & Adventure,Classics,Drama,Mystery & Suspense"	96	96	"96.0,85.5,100.0,81.0"	"Oct 8, 1941Â wide"	20-Feb-07	NA	105 minutes	NA
The Green Pastures (1936)	86%	84%	NR	"Classics,Comedy,Drama"	93	93	"93.0,84.0,91.5,86.0"	"Jul 16, 1936Â wide"	10-Jan-06	NA	93 minutes	NA
The Brides of Dracula1960	75%	61%	G (violence)	"Classics,Horror"	80	80	"60.0,47.0,81.5,75.0"	"Jan 1, 1960Â wide"	6-Sep-05	NA	86 minutes	Universal-International
Romeo and Juliet (1936)	75%	48%	NR	"Classics,Drama,Romance"	92	88	"90.0,75.0,92.0,91.0"	"Sep 3, 1936Â limited"	14-Aug-07	NA	126 minutes	NA
They Drive by Night1940	96%	71%	NR	"Classics,Drama"	95	96	"97.0,100.0,92.5,76.0"	"Aug 3, 1940Â wide"	4-Nov-03	NA	95 minutes	NA
Air Force1943	88%	71%	NR	"Action & Adventure,Classics,Drama"	89.5	92	"100.0,83.0,83.0,90.0"	"Mar 20, 1943Â wide"	5-Jun-07	NA	124 minutes	NA
Moulin Rouge (1952)	75%	90%	NR	"Classics,Drama,Musical & Performing Arts"	80	77.5	"70.0,75.0,63.0,79.0"	"Dec 23, 1952Â wide"	15-Jun-04	NA	119 minutes	NA
House of Frankenstein1944	55%	48%	NR	"Classics,Horror"	65.5	85.5	"88.0,71.0,85.0,80.0"	"Jan 1, 1944Â wide"	29-Mar-05	NA	71 minutes	NA
Some Came Running1959	82%	76%	G	"Classics,Drama"	82	81	"79.0,75.5,60.0,75.0"	"Jun 1, 1959Â wide"	13-May-08	NA	136 minutes	NA
The Citadel1938	88%	69%	NR	"Classics,Drama"	87	91	"92.0,88.0,84.0,87.0"	"Oct 29, 1938Â wide"	23-Mar-09	NA	112 minutes	NA
Inside Daisy Clover1966	36%	52%	NR	"Classics,Drama"	80	50	"84.0,76.5,63.0,74.5"	"Jan 1, 1966Â wide"	3-Feb-09	NA	128 minutes	NA
The V.I.P.s1963	0%	44%	NR	"Classics,Drama"	88	83	"60.0,58.5,66.0,69.0"	"Sep 19, 1963Â wide"	5-Dec-06	NA	119 minutes	NA
Cleopatra Jones (1973)	90%	44%	R	"Action & Adventure,Classics,Drama"	74.5	25	"73.0,64.0,80.0,28.0"	NA	30-Mar-99	NA	89 minutes	NA
Random Harvest (1942)	89%	89%	NR	"Classics,Drama"	88	90.5	"90.5,89.0,94.5,89.0"	"Dec 17, 1942Â wide"	11-Jan-05	NA	126 minutes	NA
